trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
2646,False,"{'a': 0.1, 'e': 0.07084053721048059}",25,15,-3.2003283979642023,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
2647,False,"{'a': 0.1, 'e': 0.0707696966732701}",30,20,20.775427355667944,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
2648,False,"{'a': 0.1, 'e': 0.07069892697659683}",25,17,15.275150766202703,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
2649,False,"{'a': 0.1, 'e': 0.07062822804962023}",20,9,19.94665737479786,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
2650,False,"{'a': 0.1, 'e': 0.0705575998215706}",25,3,36.20897157856762,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
2651,False,"{'a': 0.1, 'e': 0.07048704222174904}",25,7,16.30816723349477,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
2652,False,"{'a': 0.1, 'e': 0.07041655517952729}",35,24,20.639175886242374,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
2653,False,"{'a': 0.1, 'e': 0.07034613862434776}",25,16,3.763416941035602,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
2654,False,"{'a': 0.1, 'e': 0.07027579248572341}",30,21,14.29610075567785,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
2655,False,"{'a': 0.1, 'e': 0.07020551669323769}",20,9,16.402372424683456,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
2656,False,"{'a': 0.1, 'e': 0.07013531117654445}",30,20,18.02634608028592,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
2657,False,"{'a': 0.1, 'e': 0.07006517586536791}",20,12,9.70485371441033,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
2658,False,"{'a': 0.1, 'e': 0.06999511068950254}",20,8,23.096263624088046,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
