trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
43,False,"{'a': 0.07, 'e': 0.05286572873835034}",20,0,18.769941974043373,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
44,False,"{'a': 0.07, 'e': 0.04929167876046215}",35,22,23.169955295032675,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
45,False,"{'a': 0.07, 'e': 0.045959256649044204}",20,12,15.729705656265402,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
46,False,"{'a': 0.07, 'e': 0.042852126867040166}",30,8,40.90188798923024,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
47,False,"{'a': 0.07, 'e': 0.039955058260653896}",25,0,31.089442712245734,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
48,False,"{'a': 0.07, 'e': 0.037253849396215788}",20,4,20.403931131751214,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
49,False,"{'a': 0.07, 'e': 0.034735258944738549}",20,13,11.352077541287258,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
50,False,"{'a': 0.07, 'e': 0.03238694077290704}",25,5,26.46784669591701,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
51,False,"{'a': 0.07, 'e': 0.030197383422318487}",35,13,32.538340033744866,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
52,False,"{'a': 0.07, 'e': 0.028155853680300096}",25,11,27.517233743391234,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
53,False,"{'a': 0.07, 'e': 0.026252343965687947}",25,0,29.513016791028452,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
54,False,"{'a': 0.07, 'e': 0.02447752327165266}",30,19,21.293024815692668,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
55,False,"{'a': 0.07, 'e': 0.02282269142509297}",30,4,48.49600080204973,"{0: 26, 1: 0, 2: 0, 3: 0, 4: 0}",1
56,False,"{'a': 0.07, 'e': 0.021279736438377158}",20,8,14.642881466924507,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
57,False,"{'a': 0.07, 'e': 0.019841094744370281}",20,11,11.290424637358283,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
58,False,"{'a': 0.07, 'e': 0.018499714119819242}",20,14,11.446823276883228,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
59,False,"{'a': 0.07, 'e': 0.017249019115346265}",20,0,26.444172329671478,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
60,False,"{'a': 0.07, 'e': 0.016082878822588419}",25,13,9.877779560672618,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
61,False,"{'a': 0.07, 'e': 0.014995576820477703}",20,8,21.306682477898654,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
62,False,"{'a': 0.07, 'e': 0.013981783153338296}",30,0,28.15676940747389,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
63,False,"{'a': 0.07, 'e': 0.013036528203437724}",25,14,21.499557992875655,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
64,False,"{'a': 0.07, 'e': 0.012155178329914935}",35,13,34.162165768368425,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
65,False,"{'a': 0.07, 'e': 0.011333413154667387}",25,8,16.770330214280467,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
66,False,"{'a': 0.07, 'e': 0.010567204383852646}",20,15,7.357331347940028,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
67,False,"{'a': 0.07, 'e': 0.0098527960611872571}",20,8,20.89216233630939,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",25,2,29.097903715794143,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",20,10,18.808487177256897,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",30,12,33.368195779141,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",25,9,32.05018348017999,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",25,11,22.162151745218427,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",25,8,29.411132257398208,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",25,14,20.793689191162372,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",20,10,19.129908711583752,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",20,10,19.552406040465996,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",20,6,23.559200673306478,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
11,True,"{'a': 0, 'e': 0}",30,19,19.737274644648508,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
12,True,"{'a': 0, 'e': 0}",20,8,20.401513590238157,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
13,True,"{'a': 0, 'e': 0}",20,6,26.355640398366877,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
14,True,"{'a': 0, 'e': 0}",25,13,16.81575810515655,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
15,True,"{'a': 0, 'e': 0}",20,13,8.206060438408029,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
16,True,"{'a': 0, 'e': 0}",30,8,30.59608975515924,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
17,True,"{'a': 0, 'e': 0}",20,0,24.509318630193984,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
18,True,"{'a': 0, 'e': 0}",25,14,15.029853953994436,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,True,"{'a': 0, 'e': 0}",20,3,28.64335600481425,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,True,"{'a': 0, 'e': 0}",25,12,26.43852287030522,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
